iso_code,continent,location,last_updated_date,total_cases,new_cases
FRO,Europe,Faeroe Islands,2022-03-20,34658,0
FLK,South America,Falkland Islands,2022-03-20,119,0
FJI,Oceania,Fiji,2022-03-20,64221,0
FIN,Europe,Finland,2022-03-20,786312,3400
FRA,Europe,France,2022-03-20,24189928,81283
PYF,Oceania,French Polynesia,2022-03-20,71243,417
GAB,Africa,Gabon,2022-03-20,47570,0
GMB,Africa,Gambia,2022-03-20,11978,0
GEO,Asia,Georgia,2022-03-20,1641874,475
DEU,Europe,Germany,2022-03-20,18809998,92316
GHA,Africa,Ghana,2022-03-20,160819,28
GIB,Europe,Gibraltar,2022-03-20,16253,105
GRC,Europe,Greece,2022-03-20,2788654,12462
GRL,North America,Greenland,2022-03-20,11926,0
GRD,North America,Grenada,2022-03-20,13936,0
GTM,North America,Guatemala,2022-03-20,816136,360
GGY,Europe,Guernsey,2022-03-15,,
GIN,Africa,Guinea,2022-03-20,36435,0
GNB,Africa,Guinea-Bissau,2022-03-20,8113,0
GUY,South America,Guyana,2022-03-20,63194,11
HTI,North America,Haiti,2022-03-20,30478,0
OWID_HIC,,High income,2022-03-20,258372770,722989
